study_type,width,height,max_iter,nprocs,trial,wall_time_s
strong,1024,1024,1000,2,1,0.841948
strong,1024,1024,1000,2,2,0.843172
strong,1024,1024,1000,2,3,0.841980
strong,1024,1024,1000,3,1,0.426557
strong,1024,1024,1000,3,2,0.424308
strong,1024,1024,1000,3,3,0.431425
strong,1024,1024,1000,4,1,0.217534
strong,1024,1024,1000,4,2,0.217741
strong,1024,1024,1000,4,3,0.216721
strong,1024,1024,1000,5,1,0.180834
strong,1024,1024,1000,5,2,0.181978
strong,1024,1024,1000,5,3,0.181990
strong,1024,1024,1000,6,1,0.141886
strong,1024,1024,1000,6,2,0.151726
strong,1024,1024,1000,6,3,0.149512
strong,1024,1024,1000,7,1,0.113608
strong,1024,1024,1000,7,2,0.117481
strong,1024,1024,1000,7,3,0.118577
strong,1024,1024,1000,8,1,0.103302
strong,1024,1024,1000,8,2,0.104725
strong,1024,1024,1000,8,3,0.103900
strong,1024,1024,1000,9,1,0.093453
strong,1024,1024,1000,9,2,0.094972
strong,1024,1024,1000,9,3,0.092812
strong,1024,1024,1000,10,1,0.080125
strong,1024,1024,1000,10,2,0.079559
strong,1024,1024,1000,10,3,0.079747
strong,1024,1024,1000,11,1,0.073551
strong,1024,1024,1000,11,2,0.074182
strong,1024,1024,1000,11,3,0.074350
strong,1024,1024,1000,12,1,0.069743
strong,1024,1024,1000,12,2,0.069406
strong,1024,1024,1000,12,3,0.068098
strong,1024,1024,1000,13,1,0.061333
strong,1024,1024,1000,13,2,0.062152
strong,1024,1024,1000,13,3,0.061848
strong,1024,1024,1000,14,1,0.059407
strong,1024,1024,1000,14,2,0.060158
strong,1024,1024,1000,14,3,0.058940
strong,1024,1024,1000,15,1,0.057164
strong,1024,1024,1000,15,2,0.056242
strong,1024,1024,1000,15,3,0.055330
strong,1024,1024,1000,16,1,0.052480
strong,1024,1024,1000,16,2,0.051437
strong,1024,1024,1000,16,3,0.051663
strong,1024,1024,1000,17,1,0.049906
strong,1024,1024,1000,17,2,0.050107
strong,1024,1024,1000,17,3,0.050692
strong,1024,1024,1000,18,1,0.048552
strong,1024,1024,1000,18,2,0.047981
strong,1024,1024,1000,18,3,0.049166
strong,1024,1024,1000,19,1,0.046024
strong,1024,1024,1000,19,2,0.045217
strong,1024,1024,1000,19,3,0.045177
strong,1024,1024,1000,20,1,0.045567
strong,1024,1024,1000,20,2,0.045821
strong,1024,1024,1000,20,3,0.044422
strong,1024,1024,1000,21,1,0.044695
strong,1024,1024,1000,21,2,0.044071
strong,1024,1024,1000,21,3,0.042834
strong,1024,1024,1000,22,1,0.041417
strong,1024,1024,1000,22,2,0.041154
strong,1024,1024,1000,22,3,0.041635
strong,1024,1024,1000,23,1,0.040834
strong,1024,1024,1000,23,2,0.041065
strong,1024,1024,1000,23,3,0.042357
strong,1024,1024,1000,24,1,0.039943
strong,1024,1024,1000,24,2,0.041106
strong,1024,1024,1000,24,3,0.040791
strong,2048,2048,1000,2,1,2.883590
strong,2048,2048,1000,2,2,2.886955
strong,2048,2048,1000,2,3,2.891694
strong,2048,2048,1000,3,1,1.521275
strong,2048,2048,1000,3,2,1.471966
strong,2048,2048,1000,3,3,1.519498
strong,2048,2048,1000,4,1,0.830713
strong,2048,2048,1000,4,2,0.830153
strong,2048,2048,1000,4,3,0.831131
strong,2048,2048,1000,5,1,0.637809
strong,2048,2048,1000,5,2,0.637854
strong,2048,2048,1000,5,3,0.639868
strong,2048,2048,1000,6,1,0.525301
strong,2048,2048,1000,6,2,0.527099
strong,2048,2048,1000,6,3,0.531499
strong,2048,2048,1000,7,1,0.420256
strong,2048,2048,1000,7,2,0.431637
strong,2048,2048,1000,7,3,0.426043
strong,2048,2048,1000,8,1,0.367885
strong,2048,2048,1000,8,2,0.371492
strong,2048,2048,1000,8,3,0.367084
strong,2048,2048,1000,9,1,0.330852
strong,2048,2048,1000,9,2,0.339903
strong,2048,2048,1000,9,3,0.338624
strong,2048,2048,1000,10,1,0.283668
strong,2048,2048,1000,10,2,0.290646
strong,2048,2048,1000,10,3,0.295411
strong,2048,2048,1000,11,1,0.270534
strong,2048,2048,1000,11,2,0.281002
strong,2048,2048,1000,11,3,0.265686
strong,2048,2048,1000,12,1,0.247088
strong,2048,2048,1000,12,2,0.246624
strong,2048,2048,1000,12,3,0.247013
strong,2048,2048,1000,13,1,0.221590
strong,2048,2048,1000,13,2,0.224939
strong,2048,2048,1000,13,3,0.224862
strong,2048,2048,1000,14,1,0.208979
strong,2048,2048,1000,14,2,0.211715
strong,2048,2048,1000,14,3,0.209759
strong,2048,2048,1000,15,1,0.204137
strong,2048,2048,1000,15,2,0.197633
strong,2048,2048,1000,15,3,0.197829
strong,2048,2048,1000,16,1,0.180996
strong,2048,2048,1000,16,2,0.189022
strong,2048,2048,1000,16,3,0.184741
strong,2048,2048,1000,17,1,0.178736
strong,2048,2048,1000,17,2,0.178807
strong,2048,2048,1000,17,3,0.176470
strong,2048,2048,1000,18,1,0.172132
strong,2048,2048,1000,18,2,0.170385
strong,2048,2048,1000,18,3,0.168249
strong,2048,2048,1000,19,1,0.157463
strong,2048,2048,1000,19,2,0.160014
strong,2048,2048,1000,19,3,0.157505
strong,2048,2048,1000,20,1,0.151526
strong,2048,2048,1000,20,2,0.154403
strong,2048,2048,1000,20,3,0.160091
strong,2048,2048,1000,21,1,0.147341
strong,2048,2048,1000,21,2,0.149380
strong,2048,2048,1000,21,3,0.148317
strong,2048,2048,1000,22,1,0.138680
strong,2048,2048,1000,22,2,0.138501
strong,2048,2048,1000,22,3,0.140037
strong,2048,2048,1000,23,1,0.138392
strong,2048,2048,1000,23,2,0.136306
strong,2048,2048,1000,23,3,0.137535
strong,2048,2048,1000,24,1,0.138668
strong,2048,2048,1000,24,2,0.137175
strong,2048,2048,1000,24,3,0.133765
strong,4096,4096,1000,2,1,10.266579
strong,4096,4096,1000,2,2,10.267361
strong,4096,4096,1000,2,3,10.266761
strong,4096,4096,1000,3,1,5.145649
strong,4096,4096,1000,3,2,5.148036
strong,4096,4096,1000,3,3,5.144898
strong,4096,4096,1000,4,1,3.082643
strong,4096,4096,1000,4,2,3.081752
strong,4096,4096,1000,4,3,3.077000
strong,4096,4096,1000,5,1,2.372382
strong,4096,4096,1000,5,2,2.362451
strong,4096,4096,1000,5,3,2.368469
strong,4096,4096,1000,6,1,1.949945
strong,4096,4096,1000,6,2,1.967734
strong,4096,4096,1000,6,3,1.948321
strong,4096,4096,1000,7,1,1.592205
strong,4096,4096,1000,7,2,1.583753
strong,4096,4096,1000,7,3,1.584629
strong,4096,4096,1000,8,1,1.394240
