study_type,N,nsteps,nprocs,trial,wall_time_s
strong,2400,10,1,1,0.063128
strong,2400,10,1,2,0.063091
strong,2400,10,1,3,0.063084
strong,2400,10,2,1,0.041324
strong,2400,10,2,2,0.041453
strong,2400,10,2,3,0.041462
strong,2400,10,3,1,0.038900
strong,2400,10,3,2,0.039882
strong,2400,10,3,3,0.038320
strong,2400,10,4,1,0.033651
strong,2400,10,4,2,0.033287
strong,2400,10,4,3,0.033075
strong,2400,10,5,1,0.035667
strong,2400,10,5,2,0.035153
strong,2400,10,5,3,0.034408
strong,2400,10,6,1,0.035070
strong,2400,10,6,2,0.033963
strong,2400,10,6,3,0.036185
strong,2400,10,7,1,0.038036
strong,2400,10,7,2,0.037862
strong,2400,10,7,3,0.036961
strong,2400,10,8,1,0.033391
strong,2400,10,8,2,0.032877
strong,2400,10,8,3,0.032558
strong,2400,10,9,1,0.036789
strong,2400,10,9,2,0.038478
strong,2400,10,9,3,0.036845
strong,2400,10,10,1,0.038170
strong,2400,10,10,2,0.036728
strong,2400,10,10,3,0.035938
strong,2400,10,11,1,0.039563
strong,2400,10,11,2,0.038389
strong,2400,10,11,3,0.038505
strong,2400,10,12,1,0.038166
strong,2400,10,12,2,0.036857
strong,2400,10,12,3,0.036789
strong,2400,10,13,1,0.039630
strong,2400,10,13,2,0.038704
strong,2400,10,13,3,0.041128
strong,2400,10,14,1,0.041160
strong,2400,10,14,2,0.040142
strong,2400,10,14,3,0.037841
strong,2400,10,15,1,0.037910
strong,2400,10,15,2,0.038073
strong,2400,10,15,3,0.040269
strong,2400,10,16,1,0.041116
strong,2400,10,16,2,0.041576
strong,2400,10,16,3,0.039764
strong,2400,10,17,1,0.041048
strong,2400,10,17,2,0.041054
strong,2400,10,17,3,0.039668
strong,2400,10,18,1,0.039854
strong,2400,10,18,2,0.040378
strong,2400,10,18,3,0.043245
strong,2400,10,19,1,0.044199
strong,2400,10,19,2,0.041998
strong,2400,10,19,3,0.041000
strong,2400,10,20,1,0.045664
strong,2400,10,20,2,0.044902
strong,2400,10,20,3,0.044924
strong,2400,10,21,1,0.045711
strong,2400,10,21,2,0.047462
strong,2400,10,21,3,0.045400
strong,2400,10,22,1,0.046379
strong,2400,10,22,2,0.047058
strong,2400,10,22,3,0.044281
strong,2400,10,23,1,0.046993
strong,2400,10,23,2,0.043490
strong,2400,10,23,3,0.044812
strong,2400,10,24,1,0.043624
strong,2400,10,24,2,0.048226
strong,2400,10,24,3,0.043706
strong,4800,10,1,1,0.251838
strong,4800,10,1,2,0.251858
strong,4800,10,1,3,0.251846
strong,4800,10,2,1,0.137476
strong,4800,10,2,2,0.138133
strong,4800,10,2,3,0.137564
strong,4800,10,3,1,0.107213
strong,4800,10,3,2,0.103261
strong,4800,10,3,3,0.106104
strong,4800,10,4,1,0.087381
strong,4800,10,4,2,0.086321
strong,4800,10,4,3,0.087311
strong,4800,10,5,1,0.077706
strong,4800,10,5,2,0.080284
strong,4800,10,5,3,0.079103
strong,4800,10,6,1,0.072115
strong,4800,10,6,2,0.072558
strong,4800,10,6,3,0.072219
strong,4800,10,7,1,0.069498
strong,4800,10,7,2,0.074900
strong,4800,10,7,3,0.070643
strong,4800,10,8,1,0.065662
strong,4800,10,8,2,0.065534
strong,4800,10,8,3,0.066050
strong,4800,10,9,1,0.065774
strong,4800,10,9,2,0.067354
strong,4800,10,9,3,0.068220
strong,4800,10,10,1,0.064453
strong,4800,10,10,2,0.066452
strong,4800,10,10,3,0.065880
strong,4800,10,11,1,0.064184
strong,4800,10,11,2,0.064892
strong,4800,10,11,3,0.064142
strong,4800,10,12,1,0.063142
strong,4800,10,12,2,0.061241
strong,4800,10,12,3,0.060339
strong,4800,10,13,1,0.066854
strong,4800,10,13,2,0.066149
strong,4800,10,13,3,0.066681
strong,4800,10,14,1,0.069000
strong,4800,10,14,2,0.067041
strong,4800,10,14,3,0.070702
strong,4800,10,15,1,0.067144
strong,4800,10,15,2,0.065665
strong,4800,10,15,3,0.064530
strong,4800,10,16,1,0.071293
strong,4800,10,16,2,0.070969
strong,4800,10,16,3,0.070703
strong,4800,10,17,1,0.069940
strong,4800,10,17,2,0.070085
strong,4800,10,17,3,0.069389
strong,4800,10,18,1,0.067010
strong,4800,10,18,2,0.070084
strong,4800,10,18,3,0.067504
strong,4800,10,19,1,0.071389
strong,4800,10,19,2,0.073339
strong,4800,10,19,3,0.073126
strong,4800,10,20,1,0.072337
strong,4800,10,20,2,0.073887
strong,4800,10,20,3,0.072530
strong,4800,10,21,1,0.072878
strong,4800,10,21,2,0.075574
strong,4800,10,21,3,0.072173
strong,4800,10,22,1,0.076454
strong,4800,10,22,2,0.074337
strong,4800,10,22,3,0.074175
strong,4800,10,23,1,0.077624
strong,4800,10,23,2,0.076783
strong,4800,10,23,3,0.075335
strong,4800,10,24,1,0.078754
strong,4800,10,24,2,0.078475
strong,4800,10,24,3,0.076648
strong,9600,10,1,1,1.006704
strong,9600,10,1,2,1.006893
strong,9600,10,1,3,1.006561
strong,9600,10,2,1,0.519730
strong,9600,10,2,2,0.520445
strong,9600,10,2,3,0.519546
strong,9600,10,3,1,0.362005
strong,9600,10,3,2,0.362748
strong,9600,10,3,3,0.362866
strong,9600,10,4,1,0.287297
strong,9600,10,4,2,0.285320
strong,9600,10,4,3,0.286375
strong,9600,10,5,1,0.240775
strong,9600,10,5,2,0.240453
strong,9600,10,5,3,0.241016
strong,9600,10,6,1,0.211504
strong,9600,10,6,2,0.211329
strong,9600,10,6,3,0.212032
strong,9600,10,7,1,0.194043
strong,9600,10,7,2,0.196291
strong,9600,10,7,3,0.197498
strong,9600,10,8,1,0.180598
strong,9600,10,8,2,0.183791
strong,9600,10,8,3,0.182160
strong,9600,10,9,1,0.170152
strong,9600,10,9,2,0.165188
strong,9600,10,9,3,0.169495
strong,9600,10,10,1,0.163932
strong,9600,10,10,2,0.165493
strong,9600,10,10,3,0.163223
strong,9600,10,11,1,0.156989
strong,9600,10,11,2,0.157778
strong,9600,10,11,3,0.159180
strong,9600,10,12,1,0.160548
strong,9600,10,12,2,0.153204
strong,9600,10,12,3,0.152449
strong,9600,10,13,1,0.154391
strong,9600,10,13,2,0.154315
strong,9600,10,13,3,0.157855
strong,9600,10,14,1,0.156819
strong,9600,10,14,2,0.156873
strong,9600,10,14,3,0.166676
strong,9600,10,15,1,0.154379
strong,9600,10,15,2,0.156398
strong,9600,10,15,3,0.155588
strong,9600,10,16,1,0.159653
strong,9600,10,16,2,0.162251
strong,9600,10,16,3,0.160599
strong,9600,10,17,1,0.157901
strong,9600,10,17,2,0.155394
strong,9600,10,17,3,0.158631
strong,9600,10,18,1,0.158347
strong,9600,10,18,2,0.156996
strong,9600,10,18,3,0.153007
strong,9600,10,19,1,0.153079
strong,9600,10,19,2,0.155482
strong,9600,10,19,3,0.156915
strong,9600,10,20,1,0.154931
strong,9600,10,20,2,0.151423
strong,9600,10,20,3,0.155934
strong,9600,10,21,1,0.153805
strong,9600,10,21,2,0.153240
strong,9600,10,21,3,0.160254
strong,9600,10,22,1,0.165018
strong,9600,10,22,2,0.169415
strong,9600,10,22,3,0.162987
strong,9600,10,23,1,0.167166
strong,9600,10,23,2,0.191311
strong,9600,10,23,3,0.164890
strong,9600,10,24,1,0.191488
strong,9600,10,24,2,0.174403
strong,9600,10,24,3,0.185524
weak,1000,50,1,1,0.055074
weak,1000,50,1,2,0.055085
weak,1000,50,1,3,0.055077
weak,2000,50,2,1,0.158083
